COUNTRY,INDICATORs,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Argentina,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",28491.928,27465.76,26650.147,23779.853,26015.237,27327.367,26578.928,25962.367,26852.98,27648.051
Argentina,"All Items, Consumer price index (CPI), End-of-period (EoP)",233.781,345.167,530.979,722.878,1091.123,2125.434,6618.763,14413.259,18449.017,20294.574
Bolivia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",9811.098,10080.824,10160.547,9145.161,9564.251,9776.544,9936.615,9878.789,9810.344,
Brazil,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",17680.585,17881.156,17980.083,17285.771,18028.1,18505.069,19029.818,19593.807,19990.829,20310.494
Colombia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",17555.413,17692.444,17835.982,16221.964,17724.572,18815.395,18756.052,18882.116,19207.28,19509.958
Chile,"All Items, Consumer price index (CPI), Period average",97.734,100.001,102.255,105.369,110.137,122.961,132.283,137.478,143.348,147.825
Colombia,"All Items, Consumer price index (CPI), End-of-period (EoP)",97.5,100.58,104.41,106.14,112.17,126.96,138.78,146.02,152.497,157.285
Costa Rica,"All Items, Consumer price index (CPI), Period average",94.464,96.563,98.587,99.301,101.016,109.375,109.949,109.496,109.949,112.099
Colombia,"All Items, Consumer price index (CPI), Period average",95.961,99.072,102.56,105.152,108.836,119.92,133.986,142.832,149.849,155.051
Costa Rica,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",22649.807,22983.623,23293.162,22067.172,23580.956,24422.013,25433.041,26297.89,27002.231,27659.26
Costa Rica,"All Items, Consumer price index (CPI), End-of-period (EoP)",95.689,97.629,99.115,100,103.299,111.436,109.469,110.39,110.552,113.816
Chile,"All Items, Consumer price index (CPI), End-of-period (EoP)",98.523,100.64,103.66,106.74,114.39,129.02,134.1,140.179,145.365,149.726
